Borough,CensusTract,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome
Manhattan,36061003002,29.6,59.5,50625,18.7,3.9,3.1
Manhattan,36061006300,25.6,57.2,113284,4.0,5.8,5.9
Manhattan,36061017800,36.5,69.8,32896,24.6,7.6,4.0
Manhattan,36061018800,34.0,71.6,29146,29.7,12.5,1.2
Manhattan,36061020300,22.2,35.4,36667,26.6,6.7,10.2
Manhattan,36061013900,30.0,56.2,91952,7.3,5.7,10.4
Manhattan,36061014500,25.4,50.9,161685,4.4,4.7,10.7
Manhattan,36061014700,24.5,48.5,137328,3.0,3.8,5.7
Manhattan,36061006400,25.0,56.2,96090,8.6,4.3,6.6
Manhattan,36061006500,22.7,59.6,97718,12.3,3.4,6.1
Manhattan,36061019702,31.2,67.7,63135,25.7,5.5,15.6
Bronx,36005035100,45.2,43.2,71913,17.1,14.1,7.5
Bronx,36005036700,40.3,61.2,23720,49.8,15.4,2.4
Bronx,36005038100,45.4,65.0,25891,34.3,19.5,7.2
Bronx,36005038800,42.6,45.3,51298,20.5,24.5,1.5
Bronx,36005039700,29.1,36.3,21228,51.0,9.2,10.1
Bronx,36005039901,45.5,72.8,22747,47.4,18.1,6.2
Bronx,36005040900,47.4,71.4,46278,17.1,13.8,0.0
Bronx,36005042000,47.2,66.5,28125,25.2,10.5,0.6
Bronx,36005042400,56.4,55.1,57716,14.3,10.1,3.2
Bronx,36005042800,41.7,36.3,63017,9.3,7.8,5.5
Bronx,36005041100,37.6,61.5,41047,21.4,14.1,0.0
Bronx,36005041300,40.8,65.3,38796,21.9,13.8,1.8
Bronx,36005041900,48.8,71.1,45127,20.6,11.6,0.5
Bronx,36005027700,36.5,64.5,33095,33.5,14.6,1.7
Bronx,36005028500,42.1,54.9,54232,17.1,5.7,2.9
Bronx,36005028600,30.6,32.4,61563,21.6,9.8,1.9
Bronx,36005028900,41.9,54.9,47361,13.4,11.1,6.0
Bronx,36005031200,34.5,33.7,62275,4.0,10.4,2.9
Bronx,36005018900,38.7,52.7,21180,44.1,16.7,5.3
Bronx,36005019900,39.2,72.1,24914,38.1,13.4,1.6
Bronx,36005020200,45.7,59.6,38487,25.9,7.0,2.5
Bronx,36005020601,51.2,69.3,76429,16.1,17.2,3.2
Bronx,36005021100,38.5,60.5,23724,47.7,19.1,4.2
Bronx,36005021200,40.1,66.1,51443,13.7,14.7,1.7
Bronx,36005021601,46.0,69.4,25847,42.9,19.0,3.2
Bronx,36005025600,42.5,49.9,37236,27.9,29.1,2.7
